authors,original_publication_year,original_title,title,average_rating,ratings_count,image_url,small_image_url,goodreads_book_id,best_book_id,work_id,books_count,isbn,isbn13,book_id,work_ratings_count
Catherine Ryan Hyde,2009,When I Found You,When I Found You,3.92,16032,https://images.gr-assets.com/books/1377009785m/17667452.jpg,https://images.gr-assets.com/books/1377009785s/17667452.jpg,22628,22628,2236198,128,671027344,9.78E+12,68,32004
Rebecca Donovan,2013,"Out of Breath (Breathing, #3)","Out of Breath (Breathing, #3)",4.32,39310,https://images.gr-assets.com/books/1367613888m/13638570.jpg,https://images.gr-assets.com/books/1367613888s/13638570.jpg,11735983,11735983,15524542,164,7442912,9.78E+12,69,40753
Helen Bryan,2012,,The Sisterhood,3.75,7967,https://images.gr-assets.com/books/1371249679m/17989312.jpg,https://images.gr-assets.com/books/1371249679s/17989312.jpg,375802,375802,2422333,224,812550706,9.78E+12,70,17135
J. Sterling,2013,,"The Game Changer (The Perfect Game, #2)",4.11,23295,https://images.gr-assets.com/books/1358236349m/16299256.jpg,https://images.gr-assets.com/books/1358236349s/16299256.jpg,18490,18490,4836639,2618,141439475,9.78E+12,71,23460
Dan Brown,2000,Angels & Demons ,"Angels & Demons  (Robert Langdon, #1)",3.85,2001311,https://images.gr-assets.com/books/1303390735m/960.jpg,https://images.gr-assets.com/books/1303390735s/960.jpg,11588,11588,849585,289,450040186,9.78E+12,72,2078754
Kristin Cashore,2008,Graceling,"Graceling (Graceling Realm, #1)",4.1,281185,https://images.gr-assets.com/books/1331548394m/3236307.jpg,https://images.gr-assets.com/books/1331548394s/3236307.jpg,1656001,1656001,3328799,161,316068047,9.78E+12,73,296630
James Frey,2003,A Million Little Pieces,A Million Little Pieces,3.62,184241,https://images.gr-assets.com/books/1483206985m/1241.jpg,https://images.gr-assets.com/books/1483206985s/1241.jpg,99561,99561,919292,187,142402516,9.78E+12,74,189931
Scott O'Dell,1960,Island of the Blue Dolphins,"Island of the Blue Dolphins (Island of the Blue Dolphins, #1)",3.8,236015,https://images.gr-assets.com/books/1475166260m/233818.jpg,https://images.gr-assets.com/books/1475166260s/233818.jpg,227443,227443,3185154,193,014028009X,9.78E+12,75,245968
S.J. Watson,2011,Before I Go to Sleep,Before I Go to Sleep,3.87,180896,https://images.gr-assets.com/books/1358353512m/9736930.jpg,https://images.gr-assets.com/books/1358353512s/9736930.jpg,14935,14935,2809709,1969,141439661,9.78E+12,76,213136
Kathleen Grissom,2010,The Kitchen House,The Kitchen House,4.18,168082,https://images.gr-assets.com/books/1463229128m/6837103.jpg,https://images.gr-assets.com/books/1463229128s/6837103.jpg,38709,38709,1679789,138,439244196,9.78E+12,77,179277
Tammara Webber,2012,Easy,"Easy (Contours of the Heart, #1)",4.11,133937,https://images.gr-assets.com/books/1349370267m/16056408.jpg,https://images.gr-assets.com/books/1349370267s/16056408.jpg,5139,5139,38765,129,307275558,9.78E+12,78,189861
Robert A. Heinlein,1959,Starship Troopers,Starship Troopers,3.99,136886,https://images.gr-assets.com/books/1406457252m/17214.jpg,https://images.gr-assets.com/books/1406457252s/17214.jpg,1381,1381,3356006,1703,143039954,9.78E+12,79,145886
"Judith Viorst, Ray Cruz",1972,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Alexander and the Terrible, Horrible, No Good, Very Bad Day",4.22,146073,https://images.gr-assets.com/books/1405259744m/46677.jpg,https://images.gr-assets.com/books/1405259744s/46677.jpg,157993,157993,2180358,1708,156012197,9.78E+12,80,147047
Sarah J. Maas,2013,Crown of Midnight,"Crown of Midnight (Throne of Glass, #2)",4.49,160485,https://images.gr-assets.com/books/1391580481m/17167166.jpg,https://images.gr-assets.com/books/1391580481s/17167166.jpg,7445,7445,2944133,92,074324754X,9.78E+12,81,184381
H.A. Rey,1941,Curious George,Curious George,4.13,105473,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1845,1845,3284484,108,385486804,9.78E+12,82,112467
Robert K. Massie,2011,Catherine the Great: Portrait of a Woman,Catherine the Great: Portrait of a Woman,3.91,66591,https://images.gr-assets.com/books/1403395276m/10414941.jpg,https://images.gr-assets.com/books/1403395276s/10414941.jpg,1953,1953,2956372,525,141439602,9.78E+12,83,69761
Laini Taylor,2012,Days of Blood & Starlight,"Days of Blood & Starlight (Daughter of Smoke & Bone, #2)",4.21,85746,https://images.gr-assets.com/books/1461353798m/12812550.jpg,https://images.gr-assets.com/books/1461353798s/12812550.jpg,7677,6424171,3376836,176,030734813X,9.78E+12,84,99031
Liane Moriarty,2011,The Hypnotist's Love Story,The Hypnotist's Love Story,3.69,34107,https://images.gr-assets.com/books/1418234545m/23751850.jpg,https://images.gr-assets.com/books/1418234545s/23751850.jpg,370493,370493,30530,81,60256656,9.78E+12,85,56255
L.J. Smith,2008,"Night World, No. 2","Night World, No. 2 (Night World, #4-6)",4.2,53023,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,32542,32542,1804929,158,385338600,9.78E+12,86,54027
"Arlene Mosel, Blair Lent",1968,Tikki Tikki Tembo,Tikki Tikki Tembo,4.21,52536,https://images.gr-assets.com/books/1317064300m/551876.jpg,https://images.gr-assets.com/books/1317064300s/551876.jpg,1617,1617,265616,109,374500010,9.78E+12,87,53161
Lisa See,2011,Dreams of Joy (Shanghai Girls #2),Dreams of Joy (Shanghai Girls #2),4.06,43863,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,6442769,6442769,3364505,178,014241493X,9.78E+12,88,47087
Michael Pollan,2001,The Botany of Desire: A Plant's-Eye View of the World,The Botany of Desire: A Plant's-Eye View of the World,4.05,37200,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,21787,21787,992628,129,345418263,9.78E+12,89,38145
Veronica Rossi,2013,Through the Ever Night,"Through the Ever Night (Under the Never Sky, #2)",4.17,54902,https://images.gr-assets.com/books/1340892848m/13253276.jpg,https://images.gr-assets.com/books/1340892848s/13253276.jpg,231804,231804,1426690,156,014038572X,9.78E+12,90,58814
Anne Lamott,1999,Traveling Mercies: Some Thoughts on Faith,Traveling Mercies: Some Thoughts on Faith,4.15,36466,https://images.gr-assets.com/books/1403182174m/10890.jpg,https://images.gr-assets.com/books/1403182174s/10890.jpg,6186357,6186357,6366642,147,385737947,9.78E+12,91,37537
Helen Bryan,2007,War Brides,War Brides,3.75,16565,https://images.gr-assets.com/books/1341794666m/10776793.jpg,https://images.gr-assets.com/books/1341794666s/10776793.jpg,1202,1202,5397,124,61234001,9.78E+12,92,33982
Kresley Cole,2006,No Rest for the Wicked,No Rest for the Wicked (Immortals After Dark #3),4.3,42026,https://images.gr-assets.com/books/1357615569m/14383.jpg,https://images.gr-assets.com/books/1357615569s/14383.jpg,2998,2998,3186437,1350,517189607,9.78E+12,93,44844
Kresley Cole,2007,Wicked Deeds on a Winter's Night (Immortals After Dark #4),Wicked Deeds on a Winter's Night (Immortals After Dark #4),4.37,40001,https://images.gr-assets.com/books/1357614752m/435045.jpg,https://images.gr-assets.com/books/1357614752s/435045.jpg,320,320,3295655,555,60531045,9.78E+12,94,42628
Kresley Cole,2008,Dark Desires After Dusk,Dark Desires After Dusk (Immortals After Dark #6),4.38,35300,https://images.gr-assets.com/books/1327887013m/2003625.jpg,https://images.gr-assets.com/books/1327887013s/2003625.jpg,5297,5297,1858012,2303,375751513,9.78E+12,95,37539
Frank McCourt,2005,Teacher Man,"Teacher Man (Frank McCourt, #3)",3.73,23736,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,13536860,13536860,18034963,133,345803507,9.78E+12,96,26183
"Joss Whedon, Georges Jeanty",2007,The Long Way Home,"Buffy the Vampire Slayer: The Long Way Home (Season 8, #1)",3.96,26561,https://images.gr-assets.com/books/1331332425m/1270615.jpg,https://images.gr-assets.com/books/1331332425s/1270615.jpg,17245,17245,3165724,2207,393970124,9.78E+12,97,27015
Chetan Bhagat,2014,Half Girlfriend,Half Girlfriend,3.16,22082,https://images.gr-assets.com/books/1407223058m/22874559.jpg,https://images.gr-assets.com/books/1407223058s/22874559.jpg,5060378,5060378,6976108,209,307269981,9.78E+12,98,27146
Mark  Edwards,2015,Follow You Home,Follow You Home,3.86,15871,https://images.gr-assets.com/books/1432662633m/25153134.jpg,https://images.gr-assets.com/books/1432662633s/25153134.jpg,11857408,11857408,16813814,147,1612130585,9.78E+12,99,28787
Christopher Moore,2012,Sacré Bleu: A Comedy d'Art,Sacré Bleu: A Comedy d'Art,3.77,22559,https://images.gr-assets.com/books/1331321350m/7743117.jpg,https://images.gr-assets.com/books/1331321350s/7743117.jpg,7244,7244,810663,39,60786507,9.78E+12,100,25721
Barry Lyga,2012,I Hunt Killers,"I Hunt Killers (Jasper Dent, #1)",4.02,25487,https://images.gr-assets.com/books/1333289403m/7766027.jpg,https://images.gr-assets.com/books/1333289403s/7766027.jpg,4137,4137,1030767,59,349113912,9.78E+12,101,26849
Gail Carriger,2013,Etiquette & Espionage,"Etiquette & Espionage (Finishing School, #1)",3.79,29821,https://images.gr-assets.com/books/1331952557m/10874177.jpg,https://images.gr-assets.com/books/1331952557s/10874177.jpg,19543,19543,3020535,110,99408392,9.78E+12,102,34613
Walker Percy,1961,The Moviegoer,The Moviegoer,3.7,18655,https://images.gr-assets.com/books/1437668043m/10739.jpg,https://images.gr-assets.com/books/1437668043s/10739.jpg,7126,7126,391568,1310,140449264,9.78E+12,103,20094
Lisa Scottoline,2015,,Every Fifteen Minutes,3.72,16765,https://images.gr-assets.com/books/1428638866m/21853628.jpg,https://images.gr-assets.com/books/1428638866s/21853628.jpg,6288,6288,3355573,181,307265439,9.78E+12,104,20212
Lauren Oliver,2015,Vanishing Girls,Vanishing Girls,3.59,19508,https://images.gr-assets.com/books/1414618400m/22465597.jpg,https://images.gr-assets.com/books/1414618400s/22465597.jpg,18710190,18710190,15524549,153,7524277,9.78E+12,105,21289
C.C. Hunter,2014,,"Chosen at Nightfall (Shadow Falls, #5)",4.37,22968,https://images.gr-assets.com/books/1345739181m/15745371.jpg,https://images.gr-assets.com/books/1345739181s/15745371.jpg,9418327,9418327,14302659,48,,,106,24381
Adelle Waldman,2013,The Love Affairs of Nathaniel P. ,The Love Affairs of Nathaniel P.,3.3,12598,https://images.gr-assets.com/books/1361026301m/16045140.jpg,https://images.gr-assets.com/books/1361026301s/16045140.jpg,3473,3473,3143497,131,446693804,9.78E+12,107,14296
Ann Aguirre,2013,Horde,"Horde (Razorland, #3)",4.28,17422,https://images.gr-assets.com/books/1362287692m/10596724.jpg,https://images.gr-assets.com/books/1362287692s/10596724.jpg,9416,9416,3237433,144,440241413,9.78E+12,108,18993
John Scalzi,2013,The Human Division,"The Human Division (Old Man's War, #5)",4.07,13685,https://images.gr-assets.com/books/1341582413m/15698479.jpg,https://images.gr-assets.com/books/1341582413s/15698479.jpg,24280,24280,3208463,1319,451525264,9.78E+12,109,17058
