book_id,goodreads_book_id,authors,original_publication_year,original_title,title,average_rating,ratings_count,image_url
1,2767052,Suzanne Collins,2008,The Hunger Games,"The Hunger Games (The Hunger Games, #1)",4.34,4780653,https://images.gr-assets.com/books/1447303603m/2767052.jpg
2,3,"J.K. Rowling, Mary GrandPré",1997,Harry Potter and the Philosopher's Stone,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",4.44,4602479,https://images.gr-assets.com/books/1474154022m/3.jpg
3,41865,Stephenie Meyer,2005,Twilight,"Twilight (Twilight, #1)",3.57,3866839,https://images.gr-assets.com/books/1361039443m/41865.jpg
4,2657,Harper Lee,1960,To Kill a Mockingbird,To Kill a Mockingbird,4.25,3198671,https://images.gr-assets.com/books/1361975680m/2657.jpg
5,4671,F. Scott Fitzgerald,1925,The Great Gatsby,The Great Gatsby,3.89,2683664,https://images.gr-assets.com/books/1490528560m/4671.jpg
6,11870085,John Green,2012,The Fault in Our Stars,The Fault in Our Stars,4.26,2346404,https://images.gr-assets.com/books/1360206420m/11870085.jpg
7,5907,J.R.R. Tolkien,1937,The Hobbit or There and Back Again,The Hobbit,4.25,2071616,https://images.gr-assets.com/books/1372847500m/5907.jpg
8,5107,J.D. Salinger,1951,The Catcher in the Rye,The Catcher in the Rye,3.79,2044241,https://images.gr-assets.com/books/1398034300m/5107.jpg
9,960,Dan Brown,2000,Angels & Demons ,"Angels & Demons  (Robert Langdon, #1)",3.85,2001311,https://images.gr-assets.com/books/1303390735m/960.jpg
10,1885,Jane Austen,1813,Pride and Prejudice,Pride and Prejudice,4.24,2035490,https://images.gr-assets.com/books/1320399351m/1885.jpg
11,77203,Khaled Hosseini,2003,The Kite Runner ,The Kite Runner,4.26,1813044,https://images.gr-assets.com/books/1484565687m/77203.jpg
12,13335037,Veronica Roth,2011,Divergent,"Divergent (Divergent, #1)",4.24,1903563,https://images.gr-assets.com/books/1328559506m/13335037.jpg
13,5470,"George Orwell, Erich Fromm, Celâl Üster",1949,Nineteen Eighty-Four,1984,4.14,1956832,https://images.gr-assets.com/books/1348990566m/5470.jpg
14,7613,George Orwell,1945,Animal Farm: A Fairy Story,Animal Farm,3.87,1881700,https://images.gr-assets.com/books/1424037542m/7613.jpg
15,48855,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,The Diary of a Young Girl,4.1,1972666,https://images.gr-assets.com/books/1358276407m/48855.jpg
16,2429135,"Stieg Larsson, Reg Keeland",2005,Män som hatar kvinnor,"The Girl with the Dragon Tattoo (Millennium, #1)",4.11,1808403,https://images.gr-assets.com/books/1327868566m/2429135.jpg
17,6148028,Suzanne Collins,2009,Catching Fire,"Catching Fire (The Hunger Games, #2)",4.3,1831039,https://images.gr-assets.com/books/1358273780m/6148028.jpg
18,5,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999,Harry Potter and the Prisoner of Azkaban,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",4.53,1832823,https://images.gr-assets.com/books/1499277281m/5.jpg
19,34,J.R.R. Tolkien,1954, The Fellowship of the Ring,"The Fellowship of the Ring (The Lord of the Rings, #1)",4.34,1766803,https://images.gr-assets.com/books/1298411339m/34.jpg
20,7260188,Suzanne Collins,2010,Mockingjay,"Mockingjay (The Hunger Games, #3)",4.03,1719760,https://images.gr-assets.com/books/1358275419m/7260188.jpg
21,2,"J.K. Rowling, Mary GrandPré",2003,Harry Potter and the Order of the Phoenix,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",4.46,1735368,https://images.gr-assets.com/books/1387141547m/2.jpg
22,12232938,Alice Sebold,2002,The Lovely Bones,The Lovely Bones,3.77,1605173,https://images.gr-assets.com/books/1457810586m/12232938.jpg
23,15881,"J.K. Rowling, Mary GrandPré",1998,Harry Potter and the Chamber of Secrets,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",4.37,1779331,https://images.gr-assets.com/books/1474169725m/15881.jpg
24,6,"J.K. Rowling, Mary GrandPré",2000,Harry Potter and the Goblet of Fire,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",4.53,1753043,https://images.gr-assets.com/books/1361482611m/6.jpg
25,136251,"J.K. Rowling, Mary GrandPré",2007,Harry Potter and the Deathly Hallows,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",4.61,1746574,https://images.gr-assets.com/books/1474171184m/136251.jpg
26,968,Dan Brown,2003,The Da Vinci Code,"The Da Vinci Code (Robert Langdon, #2)",3.79,1447148,https://images.gr-assets.com/books/1303252999m/968.jpg
27,1,"J.K. Rowling, Mary GrandPré",2005,Harry Potter and the Half-Blood Prince,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4.54,1678823,https://images.gr-assets.com/books/1361039191m/1.jpg
28,7624,William Golding,1954,Lord of the Flies ,Lord of the Flies,3.64,1605019,https://images.gr-assets.com/books/1327869409m/7624.jpg
29,18135,"William Shakespeare, Robert           Jackson",1595,An Excellent conceited Tragedie of Romeo and Juliet,Romeo and Juliet,3.73,1628519,https://images.gr-assets.com/books/1327872146m/18135.jpg
30,8442457,Gillian Flynn,2012,Gone Girl,Gone Girl,4.03,512475,https://images.gr-assets.com/books/1339602131m/8442457.jpg
31,4667024,Kathryn Stockett,2009,The Help,The Help,4.45,1531753,https://images.gr-assets.com/books/1346100365m/4667024.jpg
32,890,John Steinbeck,1937,Of Mice and Men ,Of Mice and Men,3.84,1467496,https://images.gr-assets.com/books/1437235233m/890.jpg
33,930,Arthur Golden,1997,Memoirs of a Geisha,Memoirs of a Geisha,4.08,1300209,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
34,10818853,E.L. James,2011,Fifty Shades of Grey,"Fifty Shades of Grey (Fifty Shades, #1)",3.67,1338493,https://images.gr-assets.com/books/1385207843m/10818853.jpg
35,865,"Paulo Coelho, Alan R. Clarke",1988,O Alquimista,The Alchemist,3.82,1299566,https://images.gr-assets.com/books/1483412266m/865.jpg
36,3636,Lois Lowry,1993,The Giver,"The Giver (The Giver, #1)",4.12,1296825,https://images.gr-assets.com/books/1342493368m/3636.jpg
37,100915,C.S. Lewis,1950,"The Lion, the Witch and the Wardrobe","The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",4.19,1531800,https://images.gr-assets.com/books/1353029077m/100915.jpg
38,14050,Audrey Niffenegger,2003,The Time Traveler's Wife,The Time Traveler's Wife,3.95,746287,https://images.gr-assets.com/books/1437728815m/14050.jpg
39,13496,George R.R. Martin,1996,A Game of Thrones,"A Game of Thrones (A Song of Ice and Fire, #1)",4.45,1319204,https://images.gr-assets.com/books/1436732693m/13496.jpg
40,19501,Elizabeth Gilbert,2006,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia","Eat, Pray, Love",3.51,1181647,https://images.gr-assets.com/books/1503066414m/19501.jpg
41,28187,Rick Riordan,2005,The Lightning Thief,"The Lightning Thief (Percy Jackson and the Olympians, #1)",4.23,1366265,https://images.gr-assets.com/books/1400602609m/28187.jpg
42,1934,Louisa May Alcott,1868,Little Women,"Little Women (Little Women, #1)",4.04,1257121,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
43,10210,"Charlotte Brontë, Michael Mason",1847,Jane Eyre,Jane Eyre,4.1,1198557,https://images.gr-assets.com/books/1327867269m/10210.jpg
44,15931,Nicholas Sparks,1996,The Notebook,"The Notebook (The Notebook, #1)",4.06,1053403,https://images.gr-assets.com/books/1385738917m/15931.jpg
45,4214,Yann Martel,2001,Life of Pi,Life of Pi,3.88,1003228,https://images.gr-assets.com/books/1320562005m/4214.jpg
46,43641,Sara Gruen,2006,Water for Elephants,Water for Elephants,4.07,1068146,https://images.gr-assets.com/books/1494428973m/43641.jpg
47,19063,Markus Zusak,2005,The Book Thief,The Book Thief,4.36,1159741,https://images.gr-assets.com/books/1390053681m/19063.jpg
49,4381,Stephenie Meyer,2006,"New Moon (Twilight, #2)","New Moon (Twilight, #2)",3.52,1149630,https://images.gr-assets.com/books/1361039440m/49041.jpg
50,49041,Shel Silverstein,1974,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,Where the Sidewalk Ends,4.29,1016888,https://images.gr-assets.com/books/1168052448m/30119.jpg
51,30119,Cassandra Clare,2007,City of Bones,"City of Bones (The Mortal Instruments, #1)",4.12,1154031,https://images.gr-assets.com/books/1432730315m/256683.jpg
52,256683,Stephenie Meyer,2007,Eclipse,"Eclipse (Twilight, #3)",3.69,1134511,https://images.gr-assets.com/books/1361038355m/428263.jpg
53,428263,Christopher Paolini,2002,Eragon,"Eragon (The Inheritance Cycle, #1)",3.86,1104021,https://images.gr-assets.com/books/1366212852m/113436.jpg
54,113436,Douglas Adams,1979,The Hitchhiker's Guide to the Galaxy,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",4.2,936782,https://images.gr-assets.com/books/1327656754m/11.jpg
55,11,Aldous Huxley,1932,Brave New World,Brave New World,3.97,1022601,https://images.gr-assets.com/books/1487389574m/5129.jpg
56,5129,Stephenie Meyer,2008,Breaking Dawn,"Breaking Dawn (Twilight, #4)",3.7,1070245,https://images.gr-assets.com/books/1361039438m/1162543.jpg
57,1162543,Sue Monk Kidd,2001,The Secret Life of Bees,The Secret Life of Bees,4.01,916189,https://images.gr-assets.com/books/1473454532m/37435.jpg
58,37435,"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures of Huckleberry Finn,The Adventures of Huckleberry Finn,3.8,953758,https://images.gr-assets.com/books/1405973850m/2956.jpg
59,2956,"E.B. White, Garth Williams, Rosemary Wells",1952,Charlotte's Web,Charlotte's Web,4.15,1064521,https://images.gr-assets.com/books/1439632243m/24178.jpg
60,24178,Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time,The Curious Incident of the Dog in the Night-Time,3.85,867553,https://images.gr-assets.com/books/1479863624m/1618.jpg
61,1618,Paula Hawkins,2015,The Girl on the Train,The Girl on the Train,3.88,1008778,https://images.gr-assets.com/books/1490903702m/22557272.jpg
62,22557272,Philip Pullman,1995,Northern Lights,"The Golden Compass (His Dark Materials, #1)",3.94,953970,https://images.gr-assets.com/books/1451271747m/119322.jpg
63,119322,"Emily Brontë, Richard J. Dunn",1847,Wuthering Heights,Wuthering Heights,3.82,899195,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
64,6185,Jodi Picoult,2004,My Sister's Keeper,My Sister's Keeper,4.06,863879,https://images.gr-assets.com/books/1369504683m/10917.jpg
65,10917,Kurt Vonnegut Jr.,1969,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",Slaughterhouse-Five,4.06,846488,https://images.gr-assets.com/books/1440319389m/4981.jpg
66,4981,Margaret Mitchell,1936,Gone with the Wind,Gone with the Wind,4.28,873981,https://images.gr-assets.com/books/1328025229m/18405.jpg
67,18405,Khaled Hosseini,2007,A Thousand Splendid Suns,A Thousand Splendid Suns,4.34,818742,https://images.gr-assets.com/books/1345958969m/128029.jpg
68,128029,Stephen Chbosky,1999,The Perks of Being a Wallflower,The Perks of Being a Wallflower,4.21,888806,https://images.gr-assets.com/books/1167352178m/22628.jpg
69,22628,Veronica Roth,2012,Insurgent,"Insurgent (Divergent, #2)",4.07,836362,https://images.gr-assets.com/books/1325667729m/11735983.jpg
70,11735983,Orson Scott Card,1985,Ender's Game,"Ender's Game (Ender's Saga, #1)",4.3,813439,https://images.gr-assets.com/books/1408303130m/375802.jpg
71,375802,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,"Frankenstein; or, The Modern Prometheus",Frankenstein,3.75,808589,https://images.gr-assets.com/books/1381512375m/18490.jpg
72,18490,Stephen King,1977,The Shining,The Shining (The Shining #1),4.17,791850,https://images.gr-assets.com/books/1353277730m/11588.jpg
73,11588,Stephenie Meyer,2008,The Host,"The Host (The Host, #1)",3.84,749780,https://images.gr-assets.com/books/1318009171m/1656001.jpg
74,1656001,John Green,2005,Looking for Alaska,Looking for Alaska,4.09,783470,https://images.gr-assets.com/books/1394798630m/99561.jpg
75,99561,Helen Fielding,1996,,"Bridget Jones's Diary (Bridget Jones, #1)",3.75,736498,https://images.gr-assets.com/books/1292060045m/227443.jpg
76,227443,"Jane Austen, Tony Tanner, Ros Ballaster",1811,Sense and Sensibility,Sense and Sensibility,4.06,738894,https://images.gr-assets.com/books/1397245675m/14935.jpg
77,14935,"Louis Sachar, Louis Sachar",1998,Holes,"Holes (Holes, #1)",3.93,747445,https://images.gr-assets.com/books/1327781893m/38709.jpg
78,38709,Lauren Weisberger,2003,The Devil Wears Prada,"The Devil Wears Prada (The Devil Wears Prada, #1)",3.7,665930,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
79,5139,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720,Ὀδύσσεια,The Odyssey,3.73,670326,https://images.gr-assets.com/books/1390173285m/1381.jpg
80,1381,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,Le Petit Prince,The Little Prince,4.28,738757,https://images.gr-assets.com/books/1367545443m/157993.jpg
81,157993,Jeannette Walls,2005,The Glass Castle,The Glass Castle,4.24,621099,https://images.gr-assets.com/books/1400930557m/7445.jpg
82,7445,Jon Krakauer,1996,Into the Wild,Into the Wild,3.94,647684,https://images.gr-assets.com/books/1403173986m/1845.jpg
83,1845,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,A Tale of Two Cities,A Tale of Two Cities,3.81,637412,https://images.gr-assets.com/books/1344922523m/1953.jpg
85,1953,Shel Silverstein,1964,The Giving Tree,The Giving Tree,4.38,702332,https://images.gr-assets.com/books/1174210942m/370493.jpg
86,7677,John Grisham,1989,A Time to Kill,A Time to Kill,4.03,597775,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
